calldate,clid,src,dst,dcontext,channel,dstchannel,lastapp,lastdata,duration,billsec,disposition,amaflags,accountcode,uniqueid,userfield
"2017-04-04 19:29:22","""Raphael Santos"" <9728>",9728,9701,from-internal,PJSIP/9728-00000008,PJSIP/9701-00000009,Dial,"PJSIP/9701/sip:9701@201.76.190.110:50110;ob,,TtrIb(func-apply-sipheaders^s^1)",166,161,ANSWERED,3,,1491334162.30,
"2017-04-04 19:27:17","""Alexandre Paes"" <9701>",9701,9736,from-internal,PJSIP/9701-00000006,PJSIP/9736-00000007,Dial,"PJSIP/9736/sip:9736@177.178.32.162:29421;ob,,TtrIb(func-apply-sipheaders^s^1)",51,49,ANSWERED,3,,1491334037.28,
"2017-04-04 19:27:11","""device"" <9736>",9736,*65,from-internal,PJSIP/9736-00000005,,Wait,1,1,1,ANSWERED,3,,1491334031.27,
"2017-04-04 19:26:50","""Alexandre Paes"" <9701>",9701,*60,from-internal,PJSIP/9701-00000004,,Wait,5,12,12,ANSWERED,3,,1491334010.26,
"2017-04-04 19:26:25","""Adauto Serpa"" <9736>",9736,*60,from-internal,PJSIP/9736-00000003,,SayUnixTime,"1491334020,,IM 'vm-and' S 'seconds' p",29,29,ANSWERED,3,,1491333985.25,
"2017-04-04 19:25:21","""Adauto Serpa"" <9736>",9736,*60,from-internal,PJSIP/9736-00000002,,Wait,1,14,14,ANSWERED,3,,1491333921.24,
"2017-04-04 19:24:21","""Adauto Serpa"" <9736>",9736,*60,from-internal,PJSIP/9736-00000001,,Wait,1,38,38,ANSWERED,3,,1491333861.23,
"2017-04-04 19:24:02","""Adauto Serpa"" <9736>",9736,en,app-speakextennum,PJSIP/9736-00000000,,Hangup,,10,10,ANSWERED,3,,1491333842.22,
"2017-04-04 19:23:19",""""" <9728>",9728,s,from-sip-external,SIP/voip.prill.com.br-00000015,,Congestion,5,12,12,ANSWERED,3,,1491333799.21,
"2017-04-04 19:15:27","""Raphael Rodegheri"" <9728>",9728,9736,from-internal,SIP/9728-00000011,SIP/9736-00000012,Dial,"SIP/9736,,TtrIb(func-apply-sipheaders^s^1)",30,27,ANSWERED,3,,1491333327.17,
"2017-04-04 19:09:01","""Adauto"" <9736>",9736,9701,from-internal,SIP/9736-0000000f,SIP/9701-00000010,Dial,"SIP/9701,,TtrIb(func-apply-sipheaders^s^1)",17,15,ANSWERED,3,,1491332941.15,
"2017-04-04 19:04:34","""Adauto"" <9736>",9736,9701,from-internal,SIP/9736-0000000c,SIP/9701-0000000d,Dial,"SIP/9701,,TtrIb(func-apply-sipheaders^s^1)",13,9,ANSWERED,3,,1491332674.12,
"2017-04-04 19:03:09","""Adauto"" <9736>",9736,en,app-speakextennum,SIP/9736-0000000b,,Hangup,,10,10,ANSWERED,3,,1491332589.11,
"2017-04-04 19:02:20","""Adauto"" <9736>",9736,9701,from-internal,SIP/9736-00000009,SIP/9701-0000000a,Dial,"SIP/9701,,TtrIb(func-apply-sipheaders^s^1)",14,0,"NO ANSWER",3,,1491332540.9,
"2017-04-04 18:36:41","""Adauto"" <9736>",9736,9701,from-internal,SIP/9736-00000007,SIP/9701-00000008,Dial,"SIP/9701,,TtrIb(func-apply-sipheaders^s^1)",54,49,ANSWERED,3,,1491331001.7,
"2017-04-04 18:34:05","""Adauto"" <9736>",9736,en,app-speakextennum,SIP/9736-00000006,,Hangup,,9,9,ANSWERED,3,,1491330845.6,
"2017-04-04 18:32:11","""Adauto"" <9736>",9736,en,app-speakextennum,SIP/9736-00000005,,Hangup,,10,10,ANSWERED,3,,1491330731.5,
"2017-04-04 18:31:29","""Adauto"" <9736>",9736,en,app-speakextennum,SIP/9736-00000004,,Hangup,,10,10,ANSWERED,3,,1491330689.4,
"2017-04-04 18:31:03","""Adauto"" <9736>",9736,*60,from-internal,SIP/9736-00000003,,Wait,1,15,15,ANSWERED,3,,1491330663.3,
"2017-04-04 18:17:15","""Alexandre Paes"" <9701>",9701,9736,from-internal,SIP/9701-00000000,SIP/9736-00000001,Dial,"SIP/9736,,Ttrb(func-apply-sipheaders^s^1),",45,8,ANSWERED,3,,1491329835.0,
