calldate,clid,src,dst,dcontext,channel,dstchannel,lastapp,lastdata,duration,billsec,disposition,amaflags,accountcode,uniqueid,userfield
"2017-04-04 20:37:31","""Adauto Serpa"" <9736>",9736,9707,from-internal,PJSIP/9736-00000006,PJSIP/9707-00000007,Dial,"PJSIP/9707/sip:9707@201.76.190.110:46849;rinstance=b19132137e2af525,,TtrIb(func",16,11,ANSWERED,3,,1491338251.6,
"2017-04-04 20:37:01","""Raphael Santos"" <9728>",9728,9707,from-internal,PJSIP/9728-00000004,PJSIP/9707-00000005,Dial,"PJSIP/9707/sip:9707@201.76.190.110:46849;rinstance=b19132137e2af525,,TtrIb(func",25,20,ANSWERED,3,,1491338221.4,
"2017-04-04 20:36:32","""Luiz Mariath"" <9707>",9707,9736,from-internal,PJSIP/9707-00000002,PJSIP/9736-00000003,Dial,"PJSIP/9736/sip:9736@179.177.34.141:40248;ob,,TtrIb(func-apply-sipheaders^s^1)",20,17,ANSWERED,3,,1491338192.2,
"2017-04-04 20:36:13","""Luiz Mariath"" <9707>",9707,9728,from-internal,PJSIP/9707-00000000,PJSIP/9728-00000001,Dial,"PJSIP/9728/sip:9728@191.39.85.61:43058;rinstance=ada749511dbb848b,,TtrIb(func-a",3,0,BUSY,3,,1491338173.0,
"2017-04-04 20:16:16","""Raphael Santos"" <9728>",9728,9736,from-internal,PJSIP/9728-00000042,PJSIP/9736-00000043,Dial,"PJSIP/9736/sip:9736@177.176.176.101:26871;ob,,TtrIb(func-apply-sipheaders^s^1)",33,19,ANSWERED,3,,1491336976.90,
"2017-04-04 20:09:08","""Adauto Serpa"" <9736>",9736,9728,from-internal,PJSIP/9736-00000040,PJSIP/9728-00000041,Dial,"PJSIP/9728/sip:9728@191.39.85.61:43058;rinstance=15e685b8fdfa0157,,TtrIb(func-a",44,42,ANSWERED,3,,1491336548.88,
"2017-04-04 20:07:21","""Raphael Santos"" <9728>",9728,9736,from-internal,PJSIP/9728-0000003e,PJSIP/9736-0000003f,Dial,"PJSIP/9736/sip:9736@177.176.176.101:17200;rinstance=ab1eec023f1a2f14,,TtrIb(fun",37,34,ANSWERED,3,,1491336441.86,
"2017-04-04 19:58:03","""Adauto Serpa"" <9736>",9736,9728,from-internal,PJSIP/9736-0000003c,PJSIP/9728-0000003d,Dial,"PJSIP/9728/sip:9728@201.76.190.110:60651;rinstance=a1589892113b7c66,,TtrIb(func",13,9,ANSWERED,3,,1491335883.84,
"2017-04-04 19:57:28","""Raphael Santos"" <9728>",9728,9736,from-internal,PJSIP/9728-0000003a,PJSIP/9736-0000003b,Dial,"PJSIP/9736/sip:9736@177.176.176.101:17200;rinstance=ab1eec023f1a2f14,,TtrIb(fun",26,23,ANSWERED,3,,1491335848.82,
"2017-04-04 19:56:24","""Raphael Santos"" <9728>",9728,9736,from-internal,PJSIP/9728-00000038,PJSIP/9736-00000039,Dial,"PJSIP/9736/sip:9736@177.176.176.101:17200;rinstance=ab1eec023f1a2f14,,TtrIb(fun",29,26,ANSWERED,3,,1491335784.80,
"2017-04-04 19:55:55","""Adauto Serpa"" <9736>",9736,9728,from-internal,PJSIP/9736-00000036,PJSIP/9728-00000037,Dial,"PJSIP/9728/sip:9728@201.76.190.110:60651;rinstance=a1589892113b7c66,,TtrIb(func",28,0,"NO ANSWER",3,,1491335755.78,
"2017-04-04 19:50:28","""Alexandre Paes"" <9701>",9701,9728,from-internal,PJSIP/9701-00000030,PJSIP/9728-00000031,Dial,"PJSIP/9728/sip:9728@201.76.190.110:57823;rinstance=63cc303ace81fe79,,TtrIb(func",26,0,"NO ANSWER",3,,1491335428.72,
"2017-04-04 19:46:45","""Adauto Serpa"" <9736>",9736,9728,from-internal,PJSIP/9736-0000002e,PJSIP/9728-0000002f,Dial,"PJSIP/9728/sip:9728@201.76.190.110:57823;rinstance=63cc303ace81fe79,,TtrIb(func",19,15,ANSWERED,3,,1491335205.70,
"2017-04-04 19:46:14","""Raphael Santos"" <9728>",9728,9736,from-internal,PJSIP/9728-0000002c,PJSIP/9736-0000002d,Dial,"PJSIP/9736/sip:9736@179.177.34.141:44816;ob,,TtrIb(func-apply-sipheaders^s^1)",19,11,ANSWERED,3,,1491335174.68,
